numero_celular;data_captura;tipo_cupom;tipo_loja;local_captura;latitude;longitude;nome_loja;endereco_loja;valor_compra;valor_cupom
(71) 91327-9013;08/07/2025;Desconto;mercado express;Calçada aleatória;-23.564398455814597;-46.6499409416292;Pão de Açúcar;Rua Pamplona, 1704;921.25;432.28
(11) 93291-5276;18/07/2025;Produto;vestuário;Calçada aleatória;-23.563778460026;-46.6499485895156;Havaianas;Av. Paulista, 2439;324.76;5.1
(11) 98779-7109;27/07/2025;Desconto;restaurante;Shopping Pátio Paulista;-23.570583694484704;-46.6457413311086;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;199.72;51.0
(11) 97907-8289;21/07/2025;Cashback;mercado express;MASP;-23.561857556597097;-46.656096953262505;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;711.45;35.57
(11) 99472-5982;20/07/2025;Produto;eletrodoméstico;Shopping Cidade São Paulo;-23.563295191631205;-46.6519858633321;Ponto Frio;Rua da Consolação, 2303;942.69;43.51
(11) 93420-4914;30/07/2025;Produto;outros;MASP;-23.561310914513108;-46.656409912046605;Smart Fit;Av. Paulista, 2006;205.43;7.08
(11) 95101-6521;19/07/2025;Produto;farmácia;Shopping Pátio Paulista;-23.570451774809108;-46.6457665246841;Drogaria São Paulo;Av. Paulista, 1230;641.56;20.85
(11) 94543-7009;13/07/2025;Produto;vestuário;Semáforo;-23.562203076599992;-46.65381649711329;Renner;Av. Paulista, 2230;169.24;9.59
(11) 96347-8233;22/07/2025;Produto;vestuário;MASP;-23.561104700143197;-46.65560161596419;Riachuelo;Av. Paulista, 2277;774.07;15.77
(11) 93714-8249;28/07/2025;Produto;mercado express;Calçada aleatória;-23.5642517652569;-46.65009276371271;Pão de Açúcar;Rua Pamplona, 1704;951.72;29.33
(11) 94018-1645;20/07/2025;Produto;eletrodoméstico;Estação Consolação;-23.555671620970493;-46.66132533646179;Kalunga;Rua Augusta, 2220;126.96;2.45
(11) 94693-9937;13/07/2025;Produto;outros;Calçada aleatória;-23.564143752271303;-46.650055697693006;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;290.57;11.49
(11) 98368-1586;20/07/2025;Desconto;eletrodoméstico;Estação Consolação;-23.5561029004922;-46.661976861987206;Kalunga;Rua Augusta, 2220;531.14;109.74
(11) 93985-9036;27/07/2025;Cashback;vestuário;Calçada aleatória;-23.5637562422532;-46.64959312799139;Lojas Americanas;Av. Paulista, 2300;952.53;47.63
(11) 98477-6919;26/07/2025;Desconto;outros;Semáforo;-23.562021603036403;-46.65369894013061;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;397.42;98.75
(11) 96324-3815;12/07/2025;Produto;vestuário;Semáforo;-23.5618915091924;-46.6541935359263;Lojas Americanas;Av. Paulista, 2300;716.24;33.45
(11) 97412-5940;06/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-23.563891581318302;-46.64953858903;Ponto Frio;Rua da Consolação, 2303;682.16;34.11
(11) 98633-5844;03/07/2025;Cashback;mercado express;Calçada aleatória;-23.564010747811693;-46.64953060690321;Pão de Açúcar;Rua Pamplona, 1704;490.57;24.53
(11) 98964-1412;26/07/2025;Desconto;vestuário;Calçada aleatória;-23.564785923531197;-46.649753429248605;Havaianas;Av. Paulista, 2439;752.25;217.09
(11) 94457-2513;27/07/2025;Cashback;restaurante;Estação Consolação;-23.555744885879502;-46.66170770220509;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;221.29;11.06
(11) 93107-1850;10/07/2025;Desconto;vestuário;Semáforo;-23.561972471767003;-46.654596270674304;Riachuelo;Av. Paulista, 2277;658.31;260.03
(11) 98807-2806;26/07/2025;Desconto;vestuário;Parque Trianon;-23.5640779015663;-46.656891866228506;Renner;Av. Paulista, 2230;118.06;38.98
(61) 99527-7338;19/07/2025;Desconto;vestuário;Shopping Cidade São Paulo;-23.5627136317865;-46.652458481065395;Lojas Americanas;Av. Paulista, 2300;582.83;83.77
(11) 98521-5041;12/07/2025;Cashback;restaurante;Semáforo;-23.562242548080803;-46.654150527112996;Subway;Av. Paulista, 2026;813.48;40.67
(11) 95123-6340;06/07/2025;Desconto;mercado express;Parque Trianon;-23.563737379364603;-46.6569003746671;Pão de Açúcar;Rua Pamplona, 1704;187.59;87.69
(11) 96784-7297;26/07/2025;Desconto;restaurante;Parque Trianon;-23.56417092806111;-46.65684501977001;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;880.61;355.62
(11) 94048-1569;06/07/2025;Cashback;outros;Shopping Cidade São Paulo;-23.5631278767351;-46.65201240650279;Smart Fit;Av. Paulista, 2006;932.57;46.63
(11) 97366-7849;13/07/2025;Produto;vestuário;Shopping Pátio Paulista;-23.5707596159281;-46.6457492986439;Riachuelo;Av. Paulista, 2277;475.18;12.98
(11) 99964-2147;13/07/2025;Desconto;restaurante;Shopping Pátio Paulista;-23.570666632445896;-46.64609005448439;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;821.13;319.34
(41) 98956-5104;20/07/2025;Cashback;farmácia;MASP;-23.56132516391681;-46.65580268341829;Drogaria São Paulo;Av. Paulista, 1230;699.19;34.96
(11) 93990-6335;26/07/2025;Desconto;outros;MASP;-23.561412465963;-46.65595137614001;Smart Fit;Av. Paulista, 2006;628.55;117.43
(11) 94695-4858;12/07/2025;Desconto;outros;Semáforo;-23.562424611222603;-46.654126193596795;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;269.03;89.23
(11) 91679-1614;27/07/2025;Cashback;vestuário;Semáforo;-23.562102814354898;-46.6542406831807;Renner;Av. Paulista, 2230;517.82;25.89
(11) 92585-8087;06/07/2025;Cashback;restaurante;Calçada aleatória;-23.564048385713395;-46.64987878474291;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;244.98;12.25
(11) 96054-8576;22/07/2025;Desconto;eletrodoméstico;Estação Consolação;-23.555205144229596;-46.6615656266561;Kalunga;Rua Augusta, 2220;883.72;243.08
(61) 94169-5620;13/07/2025;Produto;eletrodoméstico;MASP;-23.561336734882694;-46.6559033337747;Kalunga;Rua Augusta, 2220;933.02;30.42
(11) 96997-3738;05/07/2025;Produto;móveis;Calçada aleatória;-23.564575631364498;-46.650007954162604;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;752.38;39.2
(11) 99765-3203;23/07/2025;Desconto;eletrodoméstico;Parque Trianon;-23.563993930937006;-46.6562600273662;Kalunga;Rua Augusta, 2220;255.13;90.34
(11) 94532-1115;27/07/2025;Cashback;eletrodoméstico;Estação Consolação;-23.5558287082894;-46.6615275357973;Kalunga;Rua Augusta, 2220;775.64;38.78
(11) 93706-3777;18/07/2025;Cashback;restaurante;Estação Consolação;-23.5557814135309;-46.6619686034112;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;267.0;13.35
(11) 91341-2295;12/07/2025;Produto;farmácia;Calçada aleatória;-23.563657153155606;-46.6497744200901;Drogaria São Paulo;Av. Paulista, 1230;434.17;9.92
(11) 99968-8898;27/07/2025;Desconto;restaurante;Parque Trianon;-23.563774690415805;-46.657271816236396;Subway;Av. Paulista, 2026;108.34;52.96
(11) 93688-1383;26/07/2025;Produto;farmácia;MASP;-23.5609931617067;-46.656301555318805;Drogaria São Paulo;Av. Paulista, 1230;448.04;23.44
(11) 95643-9222;06/07/2025;Produto;outros;Estação Consolação;-23.555594942871803;-46.660960863312205;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;523.79;6.02
(11) 99891-1322;19/07/2025;Produto;eletrodoméstico;Parque Trianon;-23.5643091608975;-46.657168889318804;Kalunga;Rua Augusta, 2220;483.59;16.2
(11) 99514-7112;06/07/2025;Cashback;vestuário;Parque Trianon;-23.563982104590405;-46.6571500426962;Renner;Av. Paulista, 2230;798.42;39.92
(41) 98253-8526;28/07/2025;Desconto;mercado express;Shopping Cidade São Paulo;-23.563622199029304;-46.65228243110751;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;704.35;276.63
(11) 94848-1435;19/07/2025;Produto;móveis;Semáforo;-23.5623186911141;-46.65385792227079;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;227.39;10.21
(11) 92623-1244;27/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-23.5642758272702;-46.649535019678396;Kalunga;Rua Augusta, 2220;785.96;39.3
(11) 93924-3753;07/07/2025;Desconto;outros;Calçada aleatória;-23.564234975987702;-46.6500966184548;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;104.22;38.71
(11) 91039-1117;27/07/2025;Produto;vestuário;Shopping Cidade São Paulo;-23.5629129448347;-46.6526722592949;Havaianas;Av. Paulista, 2439;449.06;23.21
(11) 99684-8793;26/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-23.5639317620196;-46.649607857173706;Ponto Frio;Rua da Consolação, 2303;270.12;13.51
(11) 96086-7575;08/07/2025;Cashback;móveis;Shopping Pátio Paulista;-23.571031244970307;-46.6455956098424;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;644.2;32.21
(11) 95644-5208;06/07/2025;Desconto;farmácia;Semáforo;-23.5619220351617;-46.653765453138405;Drogaria São Paulo;Av. Paulista, 1230;169.02;68.28
(11) 94493-6704;12/07/2025;Cashback;eletrodoméstico;Parque Trianon;-23.5643830852132;-46.657395136983894;Ponto Frio;Rua da Consolação, 2303;482.8;24.14
(11) 96131-7167;05/07/2025;Desconto;vestuário;Calçada aleatória;-23.563843417530308;-46.649910904597995;Riachuelo;Av. Paulista, 2277;367.48;176.39
(11) 94184-7562;30/07/2025;Desconto;outros;Calçada aleatória;-23.5639248521448;-46.649896065537085;Smart Fit;Av. Paulista, 2006;768.66;332.95
(11) 92302-7900;12/07/2025;Produto;restaurante;Semáforo;-23.562204007416394;-46.653930323890805;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;636.63;27.45
(11) 95777-5496;13/07/2025;Desconto;outros;Calçada aleatória;-23.563912078258;-46.65021430542539;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;364.01;99.38
(11) 92760-2198;19/07/2025;Cashback;restaurante;Calçada aleatória;-23.5634402676466;-46.649857850123695;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;838.93;41.95
(11) 94560-6481;19/07/2025;Desconto;restaurante;Parque Trianon;-23.564369391049105;-46.65680203391741;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;277.89;128.38
(11) 98667-9330;26/07/2025;Produto;farmácia;Parque Trianon;-23.564304404500994;-46.6567628746188;Drogaria São Paulo;Av. Paulista, 1230;510.91;27.24
(11) 92051-3400;26/07/2025;Cashback;móveis;Estação Consolação;-23.555423421326303;-46.6618642046955;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;396.93;19.85
(71) 99649-1095;26/07/2025;Cashback;vestuário;Shopping Cidade São Paulo;-23.562867987161198;-46.65217916572188;Havaianas;Av. Paulista, 2439;664.68;33.23
(11) 93209-4583;12/07/2025;Produto;vestuário;Shopping Pátio Paulista;-23.570302381952008;-46.645081962105195;Lojas Americanas;Av. Paulista, 2300;174.99;3.06
(11) 98938-5559;12/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-23.564073616434797;-46.6502261208493;Kalunga;Rua Augusta, 2220;299.65;14.98
(71) 99078-6023;26/07/2025;Desconto;eletrodoméstico;Semáforo;-23.5622668543288;-46.6542447430854;Kalunga;Rua Augusta, 2220;676.98;149.45
(11) 95735-1515;02/07/2025;Desconto;eletrodoméstico;Shopping Cidade São Paulo;-23.563180130512798;-46.6522006544075;Ponto Frio;Rua da Consolação, 2303;113.53;16.47
(11) 92536-9427;27/07/2025;Produto;vestuário;Shopping Cidade São Paulo;-23.563073992760202;-46.652054845025205;Havaianas;Av. Paulista, 2439;622.79;22.07
(11) 96120-9966;20/07/2025;Produto;vestuário;Shopping Pátio Paulista;-23.570545099432398;-46.6452149397768;Renner;Av. Paulista, 2230;401.07;17.31
(11) 99352-7866;06/07/2025;Produto;outros;Semáforo;-23.562079397049896;-46.65318394924999;Smart Fit;Av. Paulista, 2006;700.33;12.64
(11) 93053-9317;05/07/2025;Cashback;eletrodoméstico;Semáforo;-23.561812299795598;-46.65425714726689;Kalunga;Rua Augusta, 2220;798.86;39.94
(11) 99919-3376;07/07/2025;Cashback;restaurante;Shopping Cidade São Paulo;-23.563478267749392;-46.652158258275406;Subway;Av. Paulista, 2026;179.57;8.98
(11) 95132-4485;13/07/2025;Cashback;vestuário;Calçada aleatória;-23.5640670388356;-46.6497857998517;Riachuelo;Av. Paulista, 2277;416.55;20.83
(11) 96043-2755;26/07/2025;Produto;eletrodoméstico;Parque Trianon;-23.563870028712607;-46.657020848673696;Kalunga;Rua Augusta, 2220;563.8;14.14
(11) 98974-8808;06/07/2025;Desconto;mercado express;Calçada aleatória;-23.564254038115397;-46.6504544541674;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;797.3;387.09
(11) 99643-7329;26/07/2025;Produto;mercado express;Parque Trianon;-23.564145954485603;-46.65674208036171;Pão de Açúcar;Rua Pamplona, 1704;924.21;45.06
(11) 94077-5325;19/07/2025;Cashback;eletrodoméstico;Parque Trianon;-23.563947771876702;-46.6573727216336;Ponto Frio;Rua da Consolação, 2303;355.05;17.75
(11) 91348-7582;25/07/2025;Desconto;vestuário;Shopping Pátio Paulista;-23.5704970457222;-46.645535404786;Lojas Americanas;Av. Paulista, 2300;370.34;118.4
(11) 93307-3522;19/07/2025;Produto;farmácia;Parque Trianon;-23.564277157230798;-46.656952882468204;Drogaria São Paulo;Av. Paulista, 1230;282.13;8.09
(11) 94657-9942;06/07/2025;Cashback;mercado express;Parque Trianon;-23.563994537384396;-46.65734189108929;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;747.01;37.35
(11) 91726-4739;19/07/2025;Produto;móveis;Semáforo;-23.561892663791795;-46.65383176464202;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;604.24;9.31
(11) 99992-4337;27/07/2025;Produto;eletrodoméstico;Parque Trianon;-23.563687084627002;-46.65668285938429;Kalunga;Rua Augusta, 2220;612.45;34.01
(11) 91985-3367;17/07/2025;Desconto;restaurante;Parque Trianon;-23.564425300810303;-46.6572803475119;Subway;Av. Paulista, 2026;469.54;154.47
(41) 97648-7419;19/07/2025;Desconto;restaurante;Shopping Cidade São Paulo;-23.5630024894198;-46.65214886421471;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;183.23;24.1
(11) 96668-6716;19/07/2025;Cashback;outros;Semáforo;-23.5618454856941;-46.65284418055279;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;530.36;26.52
(11) 94207-7119;05/07/2025;Produto;mercado express;Parque Trianon;-23.563840732846696;-46.656658330307906;Pão de Açúcar;Rua Pamplona, 1704;515.23;29.11
(11) 94156-2509;12/07/2025;Desconto;vestuário;Shopping Pátio Paulista;-23.570262799470896;-46.6454555826246;Renner;Av. Paulista, 2230;614.18;125.31
(11) 98913-4528;12/07/2025;Cashback;vestuário;MASP;-23.5615085807733;-46.655653309233806;Riachuelo;Av. Paulista, 2277;168.37;8.42
(11) 91392-6875;23/07/2025;Produto;restaurante;Estação Consolação;-23.556002847564304;-46.661689045582;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;354.59;20.93
(11) 98189-5706;01/07/2025;Desconto;vestuário;Semáforo;-23.5621456090643;-46.6539754377581;Havaianas;Av. Paulista, 2439;827.41;158.79
(11) 93890-6595;13/07/2025;Produto;vestuário;Semáforo;-23.561305602430004;-46.65456017955771;Riachuelo;Av. Paulista, 2277;359.83;10.37
(11) 98470-2523;05/07/2025;Cashback;vestuário;Semáforo;-23.5617941219428;-46.65448381476129;Havaianas;Av. Paulista, 2439;802.27;40.11
(11) 94337-1086;26/07/2025;Produto;farmácia;Calçada aleatória;-23.564141579559696;-46.6496733148209;Drogaria São Paulo;Av. Paulista, 1230;476.45;26.89
(11) 94213-8117;05/07/2025;Produto;outros;Shopping Pátio Paulista;-23.570529715994194;-46.6459743234333;Smart Fit;Av. Paulista, 2006;142.49;8.27
(11) 95619-1630;26/07/2025;Desconto;vestuário;Calçada aleatória;-23.564214591112698;-46.64979612067529;Lojas Americanas;Av. Paulista, 2300;826.5;171.23
(11) 91324-6923;19/07/2025;Cashback;farmácia;Semáforo;-23.562219109989503;-46.653935062423116;Drogaria São Paulo;Av. Paulista, 1230;645.31;32.27
(11) 99483-6047;12/07/2025;Desconto;mercado express;Semáforo;-23.561986328448;-46.65419548010419;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;740.65;227.06
(61) 94874-9985;19/07/2025;Cashback;vestuário;Parque Trianon;-23.563368816773195;-46.6568088242933;Lojas Americanas;Av. Paulista, 2300;418.01;20.9
(11) 95311-9938;12/07/2025;Cashback;vestuário;Shopping Pátio Paulista;-23.571156542776002;-46.6455950637055;Havaianas;Av. Paulista, 2439;437.33;21.87
(11) 97050-6598;12/07/2025;Desconto;mercado express;Calçada aleatória;-23.5641985359394;-46.64974426999949;Pão de Açúcar;Rua Pamplona, 1704;862.53;402.97
(11) 99560-8902;12/07/2025;Cashback;farmácia;Calçada aleatória;-23.5642377562215;-46.6500344209324;Drogaria São Paulo;Av. Paulista, 1230;141.2;7.06
(11) 97876-1095;13/07/2025;Desconto;outros;Shopping Pátio Paulista;-23.5703975038163;-46.64539127344169;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;514.88;134.14
(31) 92904-3940;08/07/2025;Produto;vestuário;Shopping Cidade São Paulo;-23.563517088922104;-46.652403350370705;Havaianas;Av. Paulista, 2439;301.07;17.77
(11) 92613-1157;06/07/2025;Produto;outros;Shopping Pátio Paulista;-23.570691483593304;-46.6458469987697;Smart Fit;Av. Paulista, 2006;490.57;20.89
(11) 95023-1021;06/07/2025;Desconto;restaurante;Semáforo;-23.561470363727896;-46.6538785054867;Subway;Av. Paulista, 2026;663.63;212.01
(11) 92148-2044;06/07/2025;Desconto;móveis;Calçada aleatória;-23.5643782651863;-46.6497246414158;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;772.32;113.74
(11) 99776-3428;05/07/2025;Cashback;mercado express;Parque Trianon;-23.563375353140895;-46.6566892604218;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;723.52;36.18
(11) 97049-5380;04/07/2025;Desconto;eletrodoméstico;Semáforo;-23.562455810989697;-46.6541452702218;Kalunga;Rua Augusta, 2220;294.02;29.46
(11) 91146-1271;18/07/2025;Desconto;outros;Calçada aleatória;-23.563619926655207;-46.650212300839584;Smart Fit;Av. Paulista, 2006;405.31;152.87
(11) 95619-9972;23/07/2025;Cashback;vestuário;MASP;-23.5612808541715;-46.6556486097839;Lojas Americanas;Av. Paulista, 2300;583.98;29.2
(11) 94519-1446;26/07/2025;Cashback;restaurante;Semáforo;-23.562278079141397;-46.654017857606796;Subway;Av. Paulista, 2026;949.86;47.49
(11) 98250-1177;19/07/2025;Desconto;móveis;Calçada aleatória;-23.564972380202;-46.65030731629239;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;837.41;364.46
(11) 96207-7832;13/07/2025;Produto;eletrodoméstico;Semáforo;-23.562075770445396;-46.65437433495452;Kalunga;Rua Augusta, 2220;396.18;6.1
(11) 93526-3538;27/07/2025;Cashback;restaurante;Shopping Pátio Paulista;-23.5700592766088;-46.6460800424133;Subway;Av. Paulista, 2026;634.14;31.71
(11) 94972-8845;20/07/2025;Produto;vestuário;Semáforo;-23.562132013345998;-46.65396077782681;Riachuelo;Av. Paulista, 2277;768.9;19.59
(11) 95324-3604;01/07/2025;Produto;móveis;MASP;-23.5609816180132;-46.656311758645295;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;897.38;52.88
(11) 99134-5659;12/07/2025;Cashback;vestuário;Parque Trianon;-23.563663050874304;-46.65699593008161;Riachuelo;Av. Paulista, 2277;482.03;24.1
(11) 98313-6689;26/07/2025;Produto;eletrodoméstico;Semáforo;-23.562294452595296;-46.653861368957706;Ponto Frio;Rua da Consolação, 2303;284.53;7.38
(21) 94122-6900;20/07/2025;Cashback;vestuário;Estação Consolação;-23.5557112820913;-46.6617980650631;Riachuelo;Av. Paulista, 2277;901.14;45.06
(11) 96744-5752;09/07/2025;Cashback;eletrodoméstico;Estação Consolação;-23.555750059374503;-46.661733594078996;Kalunga;Rua Augusta, 2220;552.9;27.64
(71) 94106-2454;23/07/2025;Produto;vestuário;Shopping Pátio Paulista;-23.570514944796393;-46.6454523607976;Riachuelo;Av. Paulista, 2277;234.18;8.93
(11) 98082-3132;13/07/2025;Desconto;restaurante;Shopping Cidade São Paulo;-23.562681194955104;-46.6526743446496;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;983.07;122.61
(11) 96255-8451;05/07/2025;Produto;vestuário;MASP;-23.560774089987603;-46.65646662633979;Havaianas;Av. Paulista, 2439;313.35;10.26
(11) 95755-9142;19/07/2025;Cashback;farmácia;Estação Consolação;-23.5558165355285;-46.661441504838;Drogaria São Paulo;Av. Paulista, 1230;150.77;7.54
(11) 97724-1939;24/07/2025;Produto;vestuário;Semáforo;-23.5619157024396;-46.654186809855915;Renner;Av. Paulista, 2230;795.43;20.74
(11) 96845-2725;27/07/2025;Produto;móveis;Calçada aleatória;-23.564062436675105;-46.65014790028028;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;696.0;10.95
(11) 92521-6213;16/07/2025;Produto;eletrodoméstico;MASP;-23.56159080942701;-46.65562611937081;Ponto Frio;Rua da Consolação, 2303;807.84;10.78
(11) 96987-9929;06/07/2025;Produto;outros;Calçada aleatória;-23.563892895354197;-46.65020787287849;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;937.99;21.68
(11) 95062-9406;13/07/2025;Desconto;farmácia;Semáforo;-23.5617301200373;-46.6539078101437;Drogaria São Paulo;Av. Paulista, 1230;929.85;384.08
(11) 96566-4840;06/07/2025;Desconto;vestuário;Semáforo;-23.561756141364306;-46.653811111347395;Lojas Americanas;Av. Paulista, 2300;826.5;371.48
(11) 97793-8092;20/07/2025;Cashback;outros;Shopping Pátio Paulista;-23.570797698503203;-46.64581905431201;Smart Fit;Av. Paulista, 2006;394.9;19.75
(11) 98561-7195;13/07/2025;Produto;vestuário;Shopping Pátio Paulista;-23.5703248119184;-46.645467888920294;Riachuelo;Av. Paulista, 2277;369.33;9.0
(11) 93064-2288;13/07/2025;Desconto;vestuário;Estação Consolação;-23.555777270478096;-46.66158280178499;Riachuelo;Av. Paulista, 2277;649.3;97.62
(11) 95489-2602;26/07/2025;Cashback;móveis;Parque Trianon;-23.563628700531204;-46.657176471416605;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;676.01;33.8
(11) 97104-5547;06/07/2025;Cashback;outros;Shopping Cidade São Paulo;-23.562992870785607;-46.652363657795696;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;816.87;40.84
(11) 98599-5569;06/07/2025;Cashback;eletrodoméstico;Shopping Cidade São Paulo;-23.56322230436089;-46.6519733669444;Ponto Frio;Rua da Consolação, 2303;937.8;46.89
(11) 95271-9532;20/07/2025;Cashback;outros;MASP;-23.5611663750953;-46.65563694710921;Smart Fit;Av. Paulista, 2006;676.82;33.84
(11) 95987-6624;20/07/2025;Produto;outros;MASP;-23.561022356357807;-46.65587469884749;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;865.34;8.93
(11) 95275-4873;19/07/2025;Desconto;mercado express;Semáforo;-23.561795414108605;-46.6540930800269;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;337.49;90.57
(11) 92580-3377;06/07/2025;Produto;vestuário;Shopping Pátio Paulista;-23.570451750094193;-46.64569004291629;Riachuelo;Av. Paulista, 2277;327.62;11.2
(11) 97983-1175;26/07/2025;Cashback;mercado express;Calçada aleatória;-23.563970901210496;-46.64982145289229;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;563.41;28.17
(11) 94113-8325;12/07/2025;Produto;outros;Parque Trianon;-23.5642574662049;-46.65637128381721;Smart Fit;Av. Paulista, 2006;686.8;35.34
(11) 99784-3036;28/07/2025;Produto;mercado express;Calçada aleatória;-23.564301805214395;-46.650364256583806;Pão de Açúcar;Rua Pamplona, 1704;197.63;6.75
